Time,Fx,Fy,Fz,F,Mx,My,Mz
[s],[N],[N],[N],[N],[Nm],[Nm],[Nm]
8.719,479.47,-776.35,220.33,938.7,0.74,1.61,3.22
8.725,477.85,-779.6,218.37,940.11,0.69,1.6,3.27
8.732,476.22,-783.58,217.07,942.29,0.67,1.59,3.34
8.739,475.12,-787.57,215.78,944.76,0.66,1.58,3.42
8.746,475.68,-791.79,215.24,948.44,0.66,1.57,3.49
8.752,478.71,-796.48,216.19,954.09,0.67,1.58,3.56
8.759,482.87,-802.56,218.02,961.66,0.72,1.58,3.65
8.766,487.53,-808.34,220.1,969.3,0.78,1.61,3.75
8.772,492.75,-814.43,222.35,977.51,0.86,1.65,3.85
8.779,499.03,-821.35,226.38,987.37,0.94,1.68,3.96
8.786,503.85,-827.2,229.17,995.31,1.01,1.74,4.06
8.792,508.17,-832.59,232.67,1002.79,1.07,1.81,4.13
8.799,510.21,-839.02,235.22,1009.75,1.1,1.85,4.18
8.805,512.68,-845.01,238.63,1016.77,1.1,1.86,4.18
8.812,512.49,-847.92,238.58,1019.08,1.06,1.88,4.14
8.818,511.38,-850.4,238.33,1020.54,0.99,1.86,4.07
8.825,509.06,-851.65,237.67,1020.26,0.91,1.84,3.95
8.831,506.24,-850.87,235.22,1017.63,0.81,1.8,3.8
8.838,504.61,-848.81,232.31,1014.44,0.7,1.76,3.65
8.845,504.69,-847.27,231.03,1012.89,0.62,1.71,3.53
8.851,506.25,-846.46,230.37,1012.84,0.56,1.67,3.49
8.858,509.22,-847.8,231.57,1015.72,0.55,1.63,3.53
8.864,510.62,-849.41,231.97,1017.86,0.57,1.62,3.63
8.871,510.9,-849.71,230.63,1017.94,0.62,1.63,3.76
8.878,511.01,-849.57,229.35,1017.59,0.68,1.65,3.88
8.884,511.38,-848.39,229,1016.72,0.75,1.68,3.97
8.891,512.51,-848.39,231.2,1017.78,0.81,1.69,4.02
8.897,514.58,-849.49,234.85,1020.58,0.86,1.68,4.05
8.904,515.6,-849.92,237.8,1022.14,0.89,1.68,4.03
8.91,515.56,-849.58,239.89,1022.32,0.91,1.66,3.98
8.917,514.9,-848.88,240.54,1021.55,0.9,1.65,3.9
8.924,514.43,-848.54,241.04,1021.16,0.87,1.61,3.81
8.93,513.85,-847.39,240.91,1019.88,0.84,1.58,3.71
8.937,512.12,-845.6,239.99,1017.31,0.81,1.55,3.62
8.943,510.04,-843.01,238.27,1013.7,0.78,1.53,3.55
8.95,508.55,-840.87,237.52,1010.99,0.77,1.52,3.51
8.957,507.08,-840.51,237.84,1010.03,0.76,1.5,3.52
8.963,505.79,-839.09,238.46,1008.34,0.76,1.5,3.56
8.97,504.57,-838.92,239.91,1007.93,0.76,1.5,3.63
8.977,502.91,-836.93,240.37,1005.56,0.76,1.53,3.7
8.983,500.8,-835.08,240.27,1002.94,0.75,1.57,3.77
8.99,498.45,-831.96,239.45,998.97,0.75,1.61,3.83
8.996,495.73,-827.8,238.3,993.87,0.73,1.66,3.85
9.003,491.35,-823.14,235.89,987.23,0.72,1.7,3.83
9.01,486.28,-817.72,232.67,979.42,0.69,1.73,3.77
9.016,482.64,-812.04,230.09,972.26,0.65,1.76,3.67
9.023,479.78,-806.82,228.41,966.08,0.62,1.78,3.54
9.03,476.08,-801.99,225.08,959.43,0.59,1.79,3.41
9.036,473.61,-797.24,222.69,953.67,0.57,1.81,3.28
9.043,471.02,-793.13,220.86,948.52,0.57,1.82,3.16
9.05,469.17,-790.27,220.12,945.04,0.58,1.84,3.07
9.056,467.61,-786.72,219.52,941.16,0.59,1.87,2.99
9.063,466.6,-783.85,219.61,938.28,0.61,1.9,2.93
9.07,466.16,-782.66,220.63,937.3,0.64,1.9,2.89
9.076,465.33,-781.14,220.85,935.67,0.66,1.91,2.86
9.083,463.39,-779.17,219.64,932.78,0.67,1.92,2.84
9.09,461.57,-778.31,218.98,931,0.68,1.92,2.81
9.096,461.54,-778.74,220.21,931.63,0.69,1.89,2.78
9.103,460.71,-777.58,220.31,930.28,0.68,1.88,2.74
9.11,459.36,-775.84,219.89,928.06,0.67,1.87,2.69
9.117,458.19,-774.12,219.66,925.99,0.65,1.85,2.63
9.123,456.66,-770.62,218.68,922.08,0.63,1.85,2.57
9.13,455.88,-768.19,218.03,919.5,0.61,1.84,2.5
9.137,455.11,-765.31,215.59,916.13,0.58,1.83,2.45
9.143,454.24,-761.16,212.45,911.5,0.56,1.84,2.4
9.15,454.12,-758.43,211.62,908.97,0.54,1.84,2.36
9.157,453.53,-756.14,210.87,906.59,0.53,1.83,2.33
9.164,452.25,-755.07,210.11,904.88,0.51,1.82,2.31
9.17,451.42,-753.41,210.16,903.09,0.48,1.82,2.27
9.177,450.19,-753.26,209.91,902.3,0.45,1.81,2.24
9.184,449.4,-753.48,210.43,902.21,0.42,1.79,2.21
9.191,447.97,-752.57,209.55,900.53,0.38,1.77,2.17
9.197,446.02,-751.46,207.5,898.16,0.34,1.76,2.14
9.204,444.49,-749.5,206.16,895.45,0.31,1.75,2.1
9.211,444.81,-749.08,205.76,895.16,0.29,1.73,2.08
9.218,444.58,-747.38,204.94,893.44,0.27,1.73,2.05
9.225,445.04,-747.02,204.14,893.18,0.26,1.73,2.03
9.231,447.26,-746.97,205.64,894.59,0.26,1.74,2.01
9.238,449.74,-746.95,206.89,896.11,0.26,1.75,1.99
9.245,452.49,-747.59,208.88,898.48,0.26,1.75,1.97
9.252,454.6,-747.48,210.12,899.74,0.25,1.74,1.94
9.258,456.17,-747.88,211.02,901.08,0.24,1.73,1.92
9.265,457.08,-747.89,211.54,901.67,0.21,1.71,1.91
9.272,457.59,-748.28,211.93,902.34,0.18,1.68,1.9
9.279,457.49,-749.9,212.65,903.8,0.15,1.62,1.92
9.285,458.14,-751.84,212.87,905.79,0.12,1.54,1.94
9.292,459.06,-753.22,213.2,907.49,0.09,1.47,1.97
9.299,461.12,-754.66,214.52,910.03,0.06,1.41,2
9.306,463.32,-755.23,216.02,911.97,0.03,1.36,2.02
9.313,465,-755.44,216.11,913.02,-0.01,1.33,2.04
9.32,465.11,-755.12,215.58,912.7,-0.05,1.3,2.04
9.326,463.03,-754.7,213.43,910.78,-0.1,1.27,2.02
9.333,461.9,-753.35,212.07,908.77,-0.16,1.25,1.97
9.34,460.19,-751.98,210.21,906.33,-0.21,1.22,1.92
9.347,459.66,-750.67,209.55,904.82,-0.26,1.18,1.85
9.354,458.13,-747.62,207.01,900.92,-0.3,1.16,1.78
9.361,456.19,-745.56,204.94,897.76,-0.32,1.12,1.72
9.367,455.44,-742.98,203.62,894.94,-0.33,1.07,1.68
9.374,454.46,-739.11,202.09,890.87,-0.32,1.02,1.64
9.381,454.41,-736.66,202.02,888.8,-0.31,0.95,1.62
9.388,452.99,-733.87,200.84,885.5,-0.3,0.87,1.61
9.395,451.44,-732.55,200.27,883.48,-0.29,0.79,1.6
9.402,451.59,-732.75,202.04,884.13,-0.29,0.7,1.58
9.409,449.96,-732.37,201.97,882.96,-0.3,0.64,1.56
9.416,449.47,-732.59,202.58,883.03,-0.34,0.6,1.52
9.423,449.13,-733.97,203.01,884.1,-0.39,0.57,1.48
9.43,449.39,-736.78,204.31,886.87,-0.46,0.55,1.42
9.437,449.72,-739.49,204.93,889.43,-0.53,0.54,1.36
9.444,449.96,-741.5,205.25,891.3,-0.61,0.54,1.3
9.451,450.29,-742.23,205,892.02,-0.69,0.54,1.23
9.458,449.23,-741.77,203.55,890.77,-0.77,0.54,1.17
9.465,446.83,-740.08,200.59,887.47,-0.83,0.54,1.11
9.472,444.76,-738.73,198.66,884.87,-0.88,0.5,1.06
9.478,444.85,-738.74,199.44,885.1,-0.92,0.43,1.02
9.485,443.7,-738.08,198.66,883.8,-0.95,0.36,0.99
9.492,441.26,-734.3,196.2,878.87,-0.97,0.31,0.95
9.499,437.76,-729.79,193.6,872.76,-0.98,0.27,0.91
9.506,435.89,-725.53,192.15,867.94,-0.98,0.22,0.87
9.514,434.42,-722.16,190.81,864.08,-0.98,0.18,0.82
9.52,433.43,-719.34,189.52,860.95,-0.98,0.14,0.77
9.528,432.92,-716.44,189.94,858.36,-0.99,0.12,0.7
9.535,431.69,-714.27,189.62,855.86,-1.01,0.1,0.62
9.542,430.05,-712.85,188.43,853.58,-1.05,0.08,0.55
9.549,427.74,-710.4,186.86,850.03,-1.09,0.06,0.48
9.556,425.09,-706.59,185.24,845.15,-1.13,0.06,0.4
9.563,424.06,-704.8,185.55,843.21,-1.18,0.02,0.35
9.57,423.12,-703.73,185.6,841.85,-1.24,-0.03,0.32
9.577,421.94,-701.54,185.13,839.33,-1.3,-0.07,0.28
9.584,420.69,-699.52,185.98,837.19,-1.36,-0.1,0.26
9.591,419.5,-698.58,187.1,836.07,-1.43,-0.15,0.23
9.598,416.38,-696.17,185.4,832.1,-1.5,-0.18,0.2
9.605,413.05,-694.37,183.55,828.52,-1.57,-0.23,0.17
9.613,410.75,-693.04,182.36,826,-1.64,-0.28,0.13
9.62,409.59,-691.59,182.97,824.34,-1.69,-0.33,0.08
9.627,407.97,-688.96,182.57,821.24,-1.74,-0.38,0.02
9.634,405.5,-686.39,181.39,817.6,-1.78,-0.43,-0.02
9.641,404.08,-684.46,181.21,815.23,-1.82,-0.48,-0.06
9.648,402.57,-680.93,180.71,811.4,-1.86,-0.51,-0.11
9.656,399.83,-677.24,178.73,806.52,-1.9,-0.53,-0.15
9.663,396.38,-673.58,177.36,801.43,-1.94,-0.57,-0.2
9.67,393.33,-669.5,175.76,796.13,-1.98,-0.6,-0.25
9.677,390.06,-665.68,173.48,790.8,-2.01,-0.65,-0.29
9.684,386.7,-661.57,170.92,785.13,-2.04,-0.69,-0.34
9.692,384.28,-657.64,169.46,780.31,-2.06,-0.74,-0.4
9.699,381.71,-654.16,168.45,775.89,-2.08,-0.79,-0.45
9.706,378.52,-651.41,167.52,771.81,-2.09,-0.85,-0.5
9.714,376.03,-649.2,167.45,768.7,-2.09,-0.92,-0.54
9.721,373.73,-646.14,167.4,764.98,-2.1,-0.98,-0.59
9.728,372.61,-643.83,168.74,762.78,-2.1,-1.04,-0.63
9.735,370.07,-639.95,168.09,758.12,-2.11,-1.07,-0.67
9.743,367.25,-635.66,166.96,752.87,-2.12,-1.1,-0.71
9.75,363.85,-630.95,164.92,746.78,-2.13,-1.12,-0.73
9.757,360.27,-626.91,162.87,741.17,-2.14,-1.14,-0.75
9.765,357.23,-622.78,160.68,735.72,-2.16,-1.15,-0.76
9.772,354.81,-619.47,158.96,731.37,-2.17,-1.16,-0.77
9.78,352.3,-616.14,157.46,727,-2.18,-1.17,-0.77
9.787,350.14,-612.63,156.44,722.76,-2.18,-1.18,-0.79
9.794,348.51,-609.15,155.95,718.92,-2.17,-1.2,-0.8
9.802,345.88,-605.07,155.3,714.04,-2.16,-1.2,-0.81
9.809,343.45,-601.11,155.59,709.58,-2.15,-1.21,-0.83
9.817,341.39,-597.57,156.92,705.88,-2.13,-1.22,-0.84
9.824,339.51,-595.06,158.39,703.18,-2.12,-1.23,-0.85
9.832,335.68,-591.7,157.39,698.25,-2.11,-1.22,-0.86
9.839,332.56,-588.76,156.11,693.97,-2.11,-1.21,-0.87
9.846,331.05,-588.3,156.83,693.03,-2.1,-1.22,-0.88
9.854,329.53,-586.24,156.4,690.46,-2.1,-1.22,-0.9
9.861,327.33,-583.92,155.15,687.15,-2.09,-1.21,-0.92
9.869,325.91,-583.07,154.59,685.63,-2.09,-1.21,-0.94
9.876,325.31,-583.77,155.45,686.13,-2.09,-1.23,-0.96
9.884,326.1,-584.7,157.34,687.73,-2.09,-1.25,-0.98
9.891,326.02,-584.35,157.04,687.33,-2.09,-1.27,-0.99
9.899,324.94,-581.93,154.84,684.26,-2.1,-1.27,-1.02
9.906,323.74,-579.38,153.05,681.11,-2.1,-1.26,-1.04
9.914,322.19,-577.02,150.88,677.88,-2.1,-1.26,-1.07
9.921,320.74,-574.44,148.72,674.51,-2.09,-1.27,-1.09
9.928,318.58,-570.65,146.04,669.67,-2.09,-1.26,-1.11
9.936,317.29,-567.7,144.61,666.23,-2.09,-1.27,-1.12
9.943,315.25,-563.42,142.49,661.16,-2.09,-1.27,-1.14
9.951,314.66,-560.46,142.73,658.41,-2.08,-1.29,-1.15
9.958,313.24,-557.4,142.84,655.14,-2.07,-1.31,-1.16
9.966,310.6,-552.15,141.11,649.04,-2.07,-1.3,-1.18
9.973,308.51,-547.13,140.64,643.67,-2.06,-1.3,-1.21
9.981,306.38,-542.26,140.37,638.45,-2.05,-1.31,-1.23
9.989,303.43,-537.62,139.04,632.81,-2.03,-1.31,-1.25
9.996,299.28,-532.24,136.85,625.75,-2.02,-1.31,-1.28
10.004,295.06,-527.28,134.93,619.1,-2,-1.31,-1.31
10.011,290.95,-522.51,132.45,612.55,-1.98,-1.31,-1.33
10.019,286.55,-518.57,129.64,606.49,-1.96,-1.31,-1.35
10.026,282.45,-514.78,127.76,600.92,-1.93,-1.32,-1.37
10.034,277.97,-509.99,124.98,594.12,-1.9,-1.32,-1.39
10.042,275.37,-505.11,124.38,588.58,-1.88,-1.32,-1.41
10.049,273.8,-501.29,125.29,584.77,-1.85,-1.32,-1.44
10.057,270.77,-496.73,124.96,579.37,-1.83,-1.32,-1.45
10.065,267.44,-492.98,123.87,574.37,-1.81,-1.32,-1.45
10.072,263.91,-488.83,122.66,568.9,-1.79,-1.31,-1.46
10.08,260.42,-483.6,121.87,562.61,-1.78,-1.29,-1.47
10.087,258.4,-478.66,121.8,557.42,-1.76,-1.29,-1.49
10.095,255.85,-474.71,121,552.67,-1.75,-1.29,-1.49
10.103,254.2,-472.43,121.03,549.96,-1.74,-1.31,-1.49
10.11,252.68,-469.06,121.15,546.39,-1.73,-1.33,-1.5
10.118,250.94,-464.75,120.44,541.72,-1.72,-1.33,-1.51
10.126,250.31,-460.27,120.71,537.66,-1.72,-1.34,-1.52
10.134,249.05,-455.69,121.06,533.23,-1.71,-1.34,-1.54
10.141,247.79,-451.63,120.87,529.13,-1.7,-1.35,-1.56
10.149,245.04,-446.4,118.61,522.86,-1.7,-1.33,-1.57
10.157,242.34,-442.05,116.66,517.44,-1.7,-1.33,-1.58
10.164,238.91,-437.01,113.58,510.83,-1.7,-1.31,-1.59
10.172,234.52,-432.26,109.58,503.84,-1.69,-1.3,-1.6
10.18,230.97,-428.45,107.15,498.39,-1.69,-1.29,-1.61
10.188,226.9,-424.49,104.66,492.57,-1.67,-1.29,-1.61
10.195,224.31,-419.89,103.24,487.12,-1.66,-1.28,-1.63
10.203,220.15,-414.85,101.08,480.39,-1.64,-1.27,-1.64
10.211,217.78,-410.41,100.27,475.31,-1.63,-1.26,-1.65
10.219,215.14,-406.2,99.58,470.32,-1.61,-1.24,-1.66
10.227,211.57,-401.25,97.64,464.01,-1.6,-1.22,-1.67
10.234,208.61,-397.31,96.08,458.92,-1.59,-1.21,-1.68
10.242,205.3,-392.2,92.95,452.34,-1.59,-1.19,-1.68
10.25,203.21,-389.12,92.12,448.55,-1.58,-1.19,-1.68
10.258,203.5,-388.83,94.39,448.9,-1.57,-1.22,-1.67
10.266,201.79,-385.89,94.29,445.56,-1.56,-1.22,-1.68
10.274,198.53,-381.79,92.05,440.06,-1.54,-1.21,-1.68
10.281,196.08,-378.46,91.41,435.93,-1.53,-1.2,-1.69
10.289,192.43,-375.61,89.52,431.42,-1.5,-1.21,-1.68
10.297,188.75,-371.79,86.86,425.91,-1.48,-1.2,-1.69
10.305,185.05,-367.63,84.79,420.21,-1.45,-1.18,-1.7
10.313,181.81,-363.54,83.05,414.87,-1.42,-1.17,-1.7
10.321,178.03,-359.55,81,409.31,-1.38,-1.15,-1.7
10.329,173.05,-354,77.19,401.53,-1.35,-1.11,-1.71
10.336,169.58,-349.29,74.9,395.44,-1.33,-1.08,-1.72
10.344,167.63,-346.2,74.45,391.79,-1.3,-1.07,-1.71
10.352,166.01,-342.97,74.89,388.32,-1.29,-1.07,-1.7
10.36,163.67,-338.87,74.19,383.57,-1.28,-1.06,-1.69
10.368,160.61,-334.81,72.83,378.42,-1.27,-1.05,-1.68
10.376,156.83,-330.01,70.49,372.12,-1.27,-1.03,-1.66
10.384,152.38,-324.77,67.52,365.04,-1.27,-1.01,-1.65
10.392,148.99,-320.48,65.61,359.46,-1.27,-1,-1.63
10.4,146.08,-316.08,63.74,353.98,-1.27,-0.99,-1.61
10.408,144.94,-313.26,64.09,351.07,-1.27,-1,-1.6
10.415,143.16,-310.46,64.27,347.86,-1.26,-1.01,-1.59
10.423,140.12,-306.29,61.67,342.42,-1.26,-1,-1.57
10.431,136.86,-302.41,59.2,337.18,-1.25,-0.98,-1.56
10.439,134.47,-298.49,58.05,332.49,-1.24,-0.97,-1.55
10.447,133.28,-295.77,58.54,329.65,-1.23,-0.96,-1.53
10.455,131.89,-292.07,58.73,325.81,-1.21,-0.95,-1.53
10.463,130.08,-288.82,59,322.21,-1.19,-0.93,-1.51
10.471,127.84,-285.92,58.89,318.69,-1.17,-0.92,-1.5
10.479,125.43,-282.26,57.76,314.23,-1.15,-0.91,-1.48
10.487,122.87,-278.13,56.05,309.19,-1.13,-0.89,-1.47
10.495,119.63,-273.38,53.74,303.21,-1.11,-0.87,-1.46
10.503,117.04,-269.24,52.01,298.15,-1.09,-0.85,-1.44
10.511,114.17,-265.62,50.15,293.44,-1.07,-0.84,-1.43
10.519,112.75,-263.22,50.36,290.75,-1.05,-0.83,-1.42
10.527,111.42,-260.3,50.08,287.54,-1.03,-0.82,-1.41
10.535,109.32,-258.07,49.36,284.58,-1.01,-0.82,-1.39
10.543,107.58,-255.2,48.21,281.11,-1,-0.81,-1.38
10.551,106.71,-253.04,48.18,278.82,-0.99,-0.8,-1.36
10.559,105.29,-251.14,47.82,276.48,-0.98,-0.79,-1.35
10.567,105.38,-249.48,48.75,275.17,-0.98,-0.79,-1.33
10.575,103.86,-247.13,47.76,272.28,-0.97,-0.79,-1.31
10.583,101.95,-244.48,46.39,268.92,-0.97,-0.78,-1.29
10.591,99.88,-241.85,44.96,265.5,-0.97,-0.77,-1.27
10.599,98.53,-239.26,44.73,262.59,-0.97,-0.77,-1.25
10.608,95.94,-235.17,42.34,257.49,-0.97,-0.75,-1.23
10.616,93.83,-231.49,40.92,253.12,-0.97,-0.74,-1.21
10.624,91.21,-227.05,39.04,247.78,-0.96,-0.72,-1.2
10.632,88.55,-222.31,37.23,242.18,-0.95,-0.7,-1.19
10.64,85.89,-218.19,35.02,237.08,-0.93,-0.69,-1.18
10.648,83.03,-213.63,32.49,231.49,-0.92,-0.67,-1.17
10.656,80.35,-209.52,30.11,226.41,-0.9,-0.65,-1.16
10.664,78.55,-205.86,29.05,222.24,-0.88,-0.64,-1.15
10.672,77.62,-203.44,29.24,219.69,-0.86,-0.64,-1.14
10.68,76.81,-201.36,29.43,217.52,-0.84,-0.63,-1.13
10.688,75.63,-198.97,28.89,214.81,-0.82,-0.62,-1.12
10.696,74.15,-195.52,28.15,210.99,-0.8,-0.6,-1.12
10.705,72.87,-193.54,27.48,208.63,-0.78,-0.58,-1.11
10.713,71.62,-190.99,27.57,205.83,-0.75,-0.56,-1.1
10.721,71.64,-190.34,29.06,205.44,-0.73,-0.56,-1.08
10.729,71.29,-189.86,29.85,204.99,-0.7,-0.56,-1.06
10.737,69.5,-188.11,28.31,202.53,-0.67,-0.55,-1.03
10.745,67.4,-185.24,25.94,198.82,-0.65,-0.52,-1.01
10.753,65.44,-183.74,24.54,196.59,-0.62,-0.51,-0.98
10.761,63.87,-181.25,23.07,193.56,-0.59,-0.5,-0.95
10.77,63.58,-179.31,22.71,191.6,-0.55,-0.49,-0.93
10.778,63.34,-177.09,22.17,189.38,-0.52,-0.48,-0.91
10.786,61.87,-173.19,19.85,184.98,-0.5,-0.45,-0.89
10.794,61.62,-171.52,19.83,183.33,-0.47,-0.44,-0.87
10.802,62.02,-171.3,21.31,183.42,-0.43,-0.45,-0.83
10.81,61.37,-169.5,21.66,181.56,-0.41,-0.44,-0.81
10.818,61.59,-167.85,22.72,180.23,-0.38,-0.44,-0.78
10.827,62.33,-165.86,24.23,178.84,-0.36,-0.42,-0.76
10.835,61.98,-162.52,23.51,175.52,-0.34,-0.4,-0.74
10.843,61.13,-158.85,21.91,171.61,-0.33,-0.36,-0.73
10.851,60.58,-154.51,19.82,167.15,-0.31,-0.33,-0.71
10.859,59.6,-150.47,17.69,162.81,-0.3,-0.29,-0.7
10.867,58.44,-147.2,16,159.19,-0.27,-0.26,-0.67
10.875,56.22,-143.13,13.45,154.36,-0.23,-0.22,-0.65
10.884,56.32,-140.74,13.58,152.2,-0.19,-0.21,-0.61
10.892,56.47,-138.38,13,150.02,-0.14,-0.19,-0.56
10.9,58.73,-136.35,14.17,149.13,-0.08,-0.17,-0.49
10.908,59.79,-134.38,15.32,147.88,-0.02,-0.14,-0.41
10.916,58.79,-131.26,15.36,144.64,0.03,-0.11,-0.35
10.925,57.45,-127.15,14.26,140.25,0.06,-0.08,-0.32
10.933,55.21,-123.4,13.41,135.85,0.09,-0.06,-0.3
10.941,53.6,-120.07,12.96,132.12,0.1,-0.05,-0.28
10.949,51.95,-116.88,12.25,128.49,0.11,-0.05,-0.28
10.957,50.54,-114.02,12.42,125.33,0.11,-0.04,-0.27
10.965,48.67,-111.98,12.65,122.76,0.11,-0.05,-0.26
10.974,45.4,-108.23,11.22,117.9,0.11,-0.03,-0.26
10.982,43.78,-104.99,10.56,114.24,0.1,-0.02,-0.26
10.99,42.76,-101.74,9.97,110.81,0.1,-0.02,-0.25
10.998,42.2,-100.36,9.96,109.33,0.1,-0.04,-0.24
11.007,42.34,-100.2,10.65,109.3,0.11,-0.07,-0.23
11.015,41.27,-99.01,10.54,107.79,0.11,-0.09,-0.23
11.023,41.18,-98.69,11.98,107.6,0.12,-0.11,-0.23
11.031,40.79,-97.41,12.32,106.32,0.13,-0.13,-0.24
11.04,40.37,-95.27,12.51,104.23,0.13,-0.13,-0.25
11.048,39.52,-93.68,11.65,102.34,0.14,-0.12,-0.25
11.056,38.83,-92.12,11,100.57,0.14,-0.12,-0.25
11.064,38.72,-91.21,11.44,99.75,0.14,-0.13,-0.25
11.073,38,-90.15,10.73,98.42,0.13,-0.12,-0.25
11.081,38,-89.05,11.07,97.45,0.13,-0.11,-0.25
11.089,37.77,-88.86,12.05,97.3,0.13,-0.12,-0.24
11.097,37.66,-88.66,12.71,97.16,0.13,-0.12,-0.23
11.106,37.77,-88.25,12.79,96.85,0.12,-0.12,-0.23
11.114,37.26,-87.96,12.12,96.29,0.12,-0.12,-0.22
11.122,38.22,-87.89,13.65,96.81,0.12,-0.13,-0.23
11.13,37.45,-87.48,13.49,96.11,0.12,-0.13,-0.22
11.139,36.38,-86.3,11.72,94.39,0.12,-0.12,-0.22
11.147,35.09,-84.53,9.38,92,0.12,-0.11,-0.22
11.155,33.99,-83.63,7.83,90.62,0.12,-0.1,-0.22
11.164,34.86,-83.01,8.31,90.41,0.13,-0.1,-0.22
11.172,34.96,-83.66,8.42,91.06,0.14,-0.11,-0.2
11.18,35.76,-82.74,8.92,90.58,0.14,-0.09,-0.21
11.188,35.88,-82.5,9.13,90.43,0.15,-0.09,-0.2
11.197,35.53,-83.44,9.54,91.2,0.15,-0.09,-0.19
11.205,34.93,-83.71,9.18,91.17,0.16,-0.09,-0.17
11.213,34.3,-85,8.47,92.05,0.17,-0.11,-0.15
11.221,34.43,-85.67,8.66,92.74,0.17,-0.11,-0.14
11.23,33.74,-85.55,8.19,92.33,0.17,-0.11,-0.14
11.238,32.71,-85.68,7.3,92,0.18,-0.11,-0.13
11.246,31.42,-86.81,6.68,92.56,0.18,-0.12,-0.11
11.254,31.27,-87.34,6.82,93.02,0.18,-0.12,-0.1
11.263,30.78,-87.85,6.99,93.35,0.18,-0.12,-0.1
11.271,30.86,-87.61,7.34,93.18,0.18,-0.12,-0.1
11.279,31.26,-88.29,7.88,93.99,0.18,-0.12,-0.1
11.287,30.36,-88.41,7.62,93.79,0.18,-0.12,-0.1
11.296,29.89,-88.62,7.81,93.85,0.18,-0.11,-0.1
11.304,29.85,-88.14,7.85,93.39,0.17,-0.11,-0.1
11.312,29.69,-88.72,8,93.9,0.18,-0.11,-0.1
11.32,29.66,-88.49,8.29,93.7,0.17,-0.1,-0.11
11.329,29.7,-88.72,7.92,93.89,0.17,-0.09,-0.12
11.337,30.32,-88.88,7.74,94.23,0.17,-0.09,-0.12
11.345,30.83,-89.71,8.45,95.24,0.17,-0.09,-0.13
11.353,30.83,-90.84,8.77,96.33,0.17,-0.09,-0.13
11.362,31.17,-91.55,8.19,97.06,0.17,-0.09,-0.13
11.37,31.86,-91.79,7.09,97.42,0.17,-0.08,-0.13
11.378,32.38,-91.88,6.56,97.64,0.17,-0.08,-0.13
11.386,32.83,-92.19,6.56,98.08,0.17,-0.08,-0.13
11.395,32.34,-92.34,6.04,98.02,0.17,-0.07,-0.14
11.403,32.09,-92.81,6.18,98.4,0.17,-0.07,-0.15
11.411,32.08,-93.53,6.88,99.12,0.17,-0.08,-0.15
11.419,32.71,-94.83,8.78,100.7,0.17,-0.09,-0.16
11.428,33.2,-95.76,9.69,101.81,0.17,-0.09,-0.16
11.436,34.06,-96.59,10.45,102.95,0.16,-0.09,-0.17
11.444,34.92,-96.51,11.5,103.28,0.14,-0.09,-0.19
11.452,35.14,-96.24,11.29,103.08,0.13,-0.08,-0.2
11.461,35.52,-96.77,11.35,103.71,0.11,-0.08,-0.21
11.469,35.81,-97.86,11.41,104.83,0.1,-0.09,-0.21
11.477,35.88,-99.75,11.13,106.59,0.08,-0.11,-0.21
11.485,36.9,-102.12,12.49,109.3,0.07,-0.14,-0.21
11.494,37.15,-102.04,11.85,109.24,0.05,-0.13,-0.21
11.502,37.49,-103.22,12.28,110.5,0.04,-0.14,-0.21
11.51,37.4,-104.42,12.11,111.58,0.03,-0.14,-0.21
11.518,37.86,-104.83,11.58,112.06,0.02,-0.14,-0.22
11.526,38.76,-104.58,10.93,112.07,0,-0.14,-0.23
11.535,39.26,-105.29,10.79,112.89,0,-0.14,-0.24
11.543,38.49,-105.39,9.21,112.58,0,-0.14,-0.25
11.551,36.95,-104.91,7.17,111.46,0,-0.12,-0.28
11.559,35.4,-104.25,4.77,110.2,0,-0.11,-0.31
11.568,35.67,-104.88,5.16,110.9,0,-0.11,-0.34
11.576,37.44,-107.12,7.32,113.71,0,-0.13,-0.36
11.584,38.2,-109,8.62,115.82,0.01,-0.14,-0.38
11.592,39.18,-109.99,9.53,117.15,0.01,-0.15,-0.41
11.6,38.54,-109.53,8.34,116.41,0.01,-0.14,-0.44
11.609,37.22,-108.47,6.26,114.85,0.02,-0.13,-0.46
11.617,37.51,-109.05,6.05,115.48,0.02,-0.13,-0.48
11.625,40.06,-111.68,8.7,118.96,0.04,-0.15,-0.49
11.633,42.22,-114.32,10.85,122.35,0.05,-0.17,-0.5
11.642,42.36,-115.92,11.08,123.91,0.07,-0.17,-0.51
11.65,41.36,-115.95,9.91,123.51,0.08,-0.15,-0.54
11.658,41.76,-117.16,9.74,124.77,0.1,-0.15,-0.55
11.666,42.72,-118.3,10.77,126.24,0.11,-0.15,-0.56
11.674,44.17,-119.39,12,127.87,0.12,-0.15,-0.58
11.683,46.8,-121.57,13.52,130.96,0.13,-0.16,-0.59
11.691,47.88,-122.7,13.98,132.45,0.15,-0.17,-0.59
11.699,47.66,-123.21,13.95,132.84,0.15,-0.17,-0.6
11.707,47.03,-122.75,14.2,132.21,0.16,-0.16,-0.6
11.715,46.83,-122.55,13.78,131.91,0.16,-0.15,-0.61
11.724,47.03,-122.6,13.31,131.99,0.16,-0.15,-0.61
11.732,47.56,-123.02,13.08,132.54,0.16,-0.15,-0.61
